,infected,recovered,fatalities,infected_known,susceptible
670,37,1802,138,28,23
671,37,1802,138,28,23
672,36,1803,138,27,23
673,36,1803,138,27,23
674,35,1804,138,26,23
675,35,1804,138,26,23
676,33,1806,138,24,23
677,32,1807,138,23,23
678,32,1807,138,23,23
679,31,1808,138,22,23
680,29,1810,138,20,23
681,28,1811,138,20,23
682,27,1812,138,19,23
683,26,1812,139,18,23
684,26,1812,139,18,23
685,25,1813,139,18,23
686,25,1813,139,18,23
687,24,1814,139,17,23
688,24,1814,139,17,23
689,24,1814,139,17,23
690,24,1814,139,17,23
691,24,1814,139,17,23
692,23,1815,139,16,23
693,22,1816,139,15,23
694,22,1816,139,15,23
695,22,1816,139,15,23
696,22,1816,139,15,23
697,22,1816,139,15,23
698,22,1816,139,15,23
699,22,1816,139,15,23
700,20,1818,139,13,23
701,20,1818,139,13,23
702,20,1818,139,13,23
703,19,1819,139,13,23
704,19,1819,139,13,23
705,19,1819,139,13,23
706,18,1820,139,12,23
707,18,1820,139,12,23
708,17,1821,139,11,23
709,16,1822,139,10,23
710,15,1823,139,9,23
711,15,1823,139,9,23
712,15,1823,139,9,23
713,15,1823,139,9,23
714,15,1823,139,9,23
715,15,1823,139,9,23
716,15,1823,139,9,23
717,15,1823,139,9,23
718,15,1823,139,9,23
719,15,1823,139,9,23
720,14,1824,139,8,23
721,14,1824,139,8,23
722,14,1824,139,8,23
723,14,1824,139,8,23
724,14,1824,139,8,23
725,14,1824,139,8,23
726,13,1825,139,8,23
727,13,1825,139,8,23
728,13,1825,139,8,23
729,12,1826,139,7,23
730,12,1826,139,7,23
731,11,1827,139,6,23
732,11,1827,139,6,23
733,11,1827,139,6,23
734,11,1827,139,6,23
735,11,1827,139,6,23
736,11,1827,139,6,23
737,11,1827,139,6,23
738,11,1827,139,6,23
739,11,1827,139,6,23
740,11,1827,139,6,23
741,11,1827,139,6,23
742,10,1828,139,5,23
743,9,1828,140,4,23
744,9,1828,140,4,23
745,9,1828,140,4,23
746,9,1828,140,4,23
747,9,1828,140,4,23
748,9,1828,140,4,23
749,9,1828,140,4,23
750,9,1828,140,4,23
751,9,1828,140,4,23
752,9,1828,140,4,23
753,9,1828,140,4,23
754,9,1828,140,4,23
755,9,1828,140,4,23
756,9,1828,140,4,23
757,9,1828,140,4,23
758,9,1828,140,4,23
759,9,1828,140,4,23
760,9,1828,140,4,23
761,9,1828,140,4,23
762,9,1828,140,4,23
763,9,1828,140,4,23
764,9,1828,140,4,23
765,9,1828,140,4,23
766,9,1828,140,4,23
767,9,1828,140,4,23
768,9,1828,140,4,23
769,9,1828,140,4,23
770,9,1828,140,4,23
771,9,1828,140,4,23
772,9,1828,140,4,23
773,9,1828,140,4,23
774,9,1828,140,4,23
775,9,1828,140,4,23
776,7,1830,140,3,23
777,7,1830,140,3,23
778,7,1830,140,3,23
779,7,1830,140,3,23
780,7,1830,140,3,23
781,7,1830,140,3,23
782,7,1830,140,3,23
783,7,1830,140,3,23
784,7,1830,140,3,23
785,7,1830,140,3,23
786,7,1830,140,3,23
787,7,1830,140,3,23
788,7,1830,140,3,23
789,7,1830,140,3,23
790,7,1830,140,3,23
791,7,1830,140,3,23
792,7,1830,140,3,23
793,7,1830,140,3,23
794,7,1830,140,3,23
795,7,1830,140,3,23
796,7,1830,140,3,23
797,7,1830,140,3,23
798,7,1830,140,3,23
799,7,1830,140,3,23
800,7,1830,140,3,23
801,7,1830,140,3,23
802,6,1831,140,2,23
803,6,1831,140,2,23
804,6,1831,140,2,23
805,6,1831,140,2,23
806,6,1831,140,2,23
807,6,1831,140,2,23
808,6,1831,140,2,23
809,6,1831,140,2,23
810,6,1831,140,2,23
811,6,1831,140,2,23
812,6,1831,140,2,23
813,6,1831,140,2,23
814,6,1831,140,2,23
815,6,1831,140,2,23
816,6,1831,140,2,23
817,6,1831,140,2,23
818,6,1831,140,2,23
819,6,1831,140,2,23
820,6,1831,140,2,23
821,6,1831,140,2,23
822,6,1831,140,2,23
823,6,1831,140,2,23
824,6,1831,140,2,23
825,6,1831,140,2,23
826,6,1831,140,2,23
827,6,1831,140,2,23
828,6,1831,140,2,23
829,6,1831,140,2,23
830,6,1831,140,2,23
831,6,1831,140,2,23
832,6,1831,140,2,23
833,6,1831,140,2,23
834,6,1831,140,2,23
835,6,1831,140,2,23
836,4,1833,140,1,23
837,4,1833,140,1,23
838,4,1833,140,1,23
839,4,1833,140,1,23
840,4,1833,140,1,23
841,4,1833,140,1,23
842,4,1833,140,1,23
843,4,1833,140,1,23
844,4,1833,140,1,23
845,4,1833,140,1,23
846,4,1833,140,1,23
847,4,1833,140,1,23
848,4,1833,140,1,23
849,4,1833,140,1,23
850,4,1833,140,1,23
851,4,1833,140,1,23
852,4,1833,140,1,23
853,4,1833,140,1,23
854,4,1833,140,1,23
855,4,1833,140,1,23
856,4,1833,140,1,23
857,4,1833,140,1,23
858,4,1833,140,1,23
859,4,1833,140,1,23
860,4,1833,140,1,23
861,4,1833,140,1,23
862,4,1833,140,1,23
863,4,1833,140,1,23
864,4,1833,140,1,23
865,4,1833,140,1,23
866,4,1833,140,1,23
867,4,1833,140,1,23
868,4,1833,140,1,23
869,4,1833,140,1,23
870,4,1833,140,1,23
871,4,1833,140,1,23
872,4,1833,140,1,23
873,3,1834,140,1,23
874,3,1834,140,1,23
875,3,1834,140,1,23
876,3,1834,140,1,23
877,3,1834,140,1,23
878,3,1834,140,1,23
879,3,1834,140,1,23
880,3,1834,140,1,23
881,3,1834,140,1,23
882,3,1834,140,1,23
883,3,1834,140,1,23
884,3,1834,140,1,23
885,3,1834,140,1,23
886,3,1834,140,1,23
887,3,1834,140,1,23
888,3,1834,140,1,23
889,3,1834,140,1,23
890,3,1834,140,1,23
891,3,1834,140,1,23
892,3,1834,140,1,23
893,3,1834,140,1,23
894,3,1834,140,1,23
895,3,1834,140,1,23
896,3,1834,140,1,23
897,3,1834,140,1,23
898,3,1834,140,1,23
899,3,1834,140,1,23
900,3,1834,140,1,23
901,3,1834,140,1,23
902,3,1834,140,1,23
903,3,1834,140,1,23
904,3,1834,140,1,23
905,3,1834,140,1,23
906,3,1834,140,1,23
907,3,1834,140,1,23
908,3,1834,140,1,23
909,3,1834,140,1,23
910,3,1834,140,1,23
911,3,1834,140,1,23
912,3,1834,140,1,23
913,3,1834,140,1,23
914,3,1834,140,1,23
915,3,1834,140,1,23
916,3,1834,140,1,23
917,3,1834,140,1,23
918,3,1834,140,1,23
919,3,1834,140,1,23
920,3,1834,140,1,23
921,3,1834,140,1,23
922,3,1834,140,1,23
923,3,1834,140,1,23
924,3,1834,140,1,23
925,3,1834,140,1,23
926,3,1834,140,1,23
927,3,1834,140,1,23
928,3,1834,140,1,23
929,3,1834,140,1,23
930,3,1834,140,1,23
931,3,1834,140,1,23
932,3,1834,140,1,23
933,3,1834,140,1,23
934,3,1834,140,1,23
935,3,1834,140,1,23
936,3,1834,140,1,23
937,3,1834,140,1,23
938,2,1835,140,1,23
939,2,1835,140,1,23
940,2,1835,140,1,23
941,2,1835,140,1,23
942,2,1835,140,1,23
943,2,1835,140,1,23
944,2,1835,140,1,23
945,2,1835,140,1,23
946,2,1835,140,1,23
947,2,1835,140,1,23
948,2,1835,140,1,23
949,2,1835,140,1,23
950,2,1835,140,1,23
951,2,1835,140,1,23
952,2,1835,140,1,23
953,2,1835,140,1,23
954,2,1835,140,1,23
955,2,1835,140,1,23
956,2,1835,140,1,23
957,2,1835,140,1,23
958,2,1835,140,1,23
959,2,1835,140,1,23
960,2,1835,140,1,23
961,2,1835,140,1,23
962,2,1835,140,1,23
963,2,1835,140,1,23
964,2,1835,140,1,23
965,2,1835,140,1,23
966,2,1835,140,1,23
967,2,1835,140,1,23
968,2,1835,140,1,23
969,2,1835,140,1,23
970,2,1835,140,1,23
971,2,1835,140,1,23
972,2,1835,140,1,23
973,2,1835,140,1,23
974,2,1835,140,1,23
975,2,1835,140,1,23
976,2,1835,140,1,23
977,2,1835,140,1,23
978,2,1835,140,1,23
979,2,1835,140,1,23
980,2,1835,140,1,23
981,2,1835,140,1,23
982,2,1835,140,1,23
983,1,1836,140,1,23
984,1,1836,140,1,23
985,1,1836,140,1,23
986,0,1837,140,0,23
