,infected,recovered,fatalities,infected_known,susceptible,severity0,severity1,severity2
629,282,479,52,179,1187,267,367,173
630,281,480,52,188,1187,268,366,174
631,279,482,52,186,1187,268,366,174
632,278,483,52,185,1187,268,366,174
633,277,484,52,184,1187,268,366,174
634,277,484,52,184,1187,266,368,174
635,276,485,52,183,1187,266,368,174
636,276,485,52,183,1187,266,368,174
637,276,485,52,183,1187,266,368,174
638,276,485,52,183,1187,266,368,174
639,276,485,52,183,1187,266,368,174
640,275,486,52,188,1187,265,369,174
641,274,487,52,187,1187,265,369,174
642,274,487,52,187,1187,265,369,174
643,269,492,52,183,1187,265,369,174
644,269,492,52,183,1187,265,368,175
645,267,494,52,183,1187,265,369,175
646,267,494,52,183,1187,267,369,175
647,267,494,52,183,1187,267,369,176
648,268,494,52,183,1186,267,369,176
649,268,494,53,182,1185,267,369,176
650,267,495,53,184,1185,267,368,177
651,267,495,53,184,1185,267,367,178
652,267,495,53,184,1185,267,367,178
653,265,497,53,182,1185,267,367,178
654,264,498,53,181,1185,267,367,178
655,264,498,53,181,1185,267,367,178
656,263,499,53,180,1185,267,366,179
657,262,500,53,179,1185,267,366,179
658,261,501,53,178,1185,266,367,179
659,261,501,53,178,1185,266,367,179
660,261,501,53,180,1185,266,366,180
661,260,502,53,179,1185,266,366,180
662,260,502,53,179,1185,265,367,180
663,260,502,53,179,1185,265,367,180
664,259,503,53,178,1185,265,367,180
665,258,503,54,177,1185,265,367,180
666,255,506,54,176,1185,265,366,181
667,254,507,54,175,1185,264,367,181
668,254,507,54,175,1185,265,367,181
669,254,508,54,174,1184,264,368,182
670,254,508,54,178,1184,263,368,183
671,253,509,54,177,1184,263,368,183
672,253,509,54,177,1184,263,368,183
673,252,510,54,176,1184,263,368,183
674,249,513,54,174,1184,263,367,184
675,249,513,54,174,1184,263,367,184
676,248,514,54,173,1184,263,367,184
677,245,517,54,171,1184,263,367,184
678,244,518,54,170,1184,263,367,184
679,243,519,54,169,1184,263,366,185
680,242,520,54,170,1184,262,367,185
681,240,522,54,168,1184,262,367,185
682,237,525,54,166,1184,262,367,185
683,234,528,54,165,1184,262,367,185
684,232,530,54,163,1184,262,367,185
685,232,530,54,163,1184,262,367,185
686,228,533,55,160,1184,262,367,185
687,226,534,56,158,1184,262,367,185
688,224,536,56,157,1184,262,367,185
689,223,537,56,156,1184,263,366,186
690,222,539,56,156,1183,263,366,186
691,222,540,56,155,1182,263,366,186
692,220,542,56,154,1182,263,366,186
693,218,544,56,153,1182,263,366,186
694,217,545,56,153,1182,263,366,186
695,217,545,56,153,1182,262,367,186
696,217,545,56,153,1182,260,369,186
697,217,545,56,153,1182,259,370,186
698,216,546,56,152,1182,259,370,186
699,215,547,56,151,1182,259,369,187
700,212,549,57,148,1182,259,369,187
701,211,549,58,147,1182,259,369,187
702,210,550,58,147,1182,259,369,187
703,210,550,58,147,1182,259,369,187
704,209,551,58,146,1182,259,369,187
705,209,551,58,146,1182,259,369,187
706,209,551,58,146,1182,259,369,187
707,207,553,58,145,1182,259,369,187
708,206,554,58,145,1182,259,369,187
709,204,556,58,143,1182,259,369,187
710,204,556,58,144,1182,260,368,188
711,204,556,58,144,1182,261,368,188
712,204,556,58,144,1182,261,368,188
713,204,556,58,144,1182,261,368,188
714,202,557,59,142,1182,261,368,188
715,200,559,59,141,1182,261,368,188
716,198,561,59,139,1182,261,368,188
717,197,562,59,138,1182,261,367,189
718,192,568,59,133,1181,260,368,189
719,189,571,59,130,1181,260,368,189
720,188,572,59,132,1181,260,368,189
721,187,573,59,132,1181,260,368,189
722,187,573,59,132,1181,260,368,189
723,186,574,59,132,1181,260,368,189
724,185,574,60,131,1181,260,368,189
